id,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
12,1044435,ACTIVE POWER INC,76141,Nasdaq Capital Market,ACPW,4911,Electric Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1044435&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/0001140361-14-024146-index.htm,http://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/0001044435-15-000023-index.htm,,2016-04-30
13,817979,ACCURIDE CORP,50901,NYSE,ACW,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=817979&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/817979/000114036114023785/0001140361-14-023785-index.htm,http://www.sec.gov/Archives/edgar/data/817979/000081797915000029/0000817979-15-000029-index.htm,,2016-04-30
14,1018840,ABERCROMBIE & FITCH CO /DE/,6231,NYSE,ANF,5651,Family Clothing Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1018840&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1018840/000101884014000037/0001018840-14-000037-index.htm,http://www.sec.gov/Archives/edgar/data/1018840/000101884015000031/0001018840-15-000031-index.htm,,2016-04-30
15,1138723,ACCURAY INC,104630,Nasdaq Global Market,ARAY,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1138723&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1138723/000110465914043023/0001104659-14-043023-index.htm,http://www.sec.gov/Archives/edgar/data/1138723/000110465915042040/0001104659-15-042040-index.htm,,2016-04-30
16,6955,ACTUANT CORP,1718,NYSE,ATU,3590,Miscellaneous Industrial And Commercial,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=6955&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/6955/000000695514000011/0000006955-14-000011-index.htm,http://www.sec.gov/Archives/edgar/data/6955/000000695515000030/0000006955-15-000030-index.htm,,2016-04-30
17,718877,"ACTIVISION BLIZZARD, INC.",9358,Nasdaq Global Market,ATVI,7372,Prepackaged Software,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=718877&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/718877/000110465914043380/0001104659-14-043380-index.htm,http://www.sec.gov/Archives/edgar/data/718877/000110465915042522/0001104659-15-042522-index.htm,,2016-04-30
18,1144215,ACUITY BRANDS INC,88293,NYSE,AYI,3640,Electric Lighting And Wiring Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1144215&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1144215/000114421514000051/0001144215-14-000051-index.htm,http://www.sec.gov/Archives/edgar/data/1144215/000114421515000066/0001144215-15-000066-index.htm,,2016-04-30
19,1090872,AGILENT TECHNOLOGIES INC,8244,NYSE,A,3826,Laboratory Analytical Instruments,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1090872&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1090872/000109087214000014/0001090872-14-000014-index.htm,http://www.sec.gov/Archives/edgar/data/1090872/000109087215000030/0001090872-15-000030-index.htm,,2016-04-30
20,785787,AEP INDUSTRIES INC,3900,Nasdaq Global Market,AEPI,3081,Unsupported Plastics Film and Sheet,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=785787&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/785787/000119312514221225/0001193125-14-221225-index.htm,http://www.sec.gov/Archives/edgar/data/785787/000119312515205572/0001193125-15-205572-index.htm,,2016-04-30
21,880266,AGCO CORP /DE,8527,NYSE,AGCO,3523,Farm Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=880266&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/880266/000088026614000019/0000880266-14-000019-index.htm,http://www.sec.gov/Archives/edgar/data/880266/000088026615000024/0000880266-15-000024-index.htm,,2016-04-30
22,1009891,AIR INDUSTRIES GROUP,71457,NYSE MKT,AIRI,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1009891&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1009891/000119380514001132/0001193805-14-001132-index.htm,http://www.sec.gov/Archives/edgar/data/1009891/000119380515000820/0001193805-15-000820-index.htm,,2016-04-30
23,816159,AIR METHODS CORP,6171,Nasdaq Global Market,AIRM,4522,"Air Transportation, Nonscheduled",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=816159&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/816159/000114036114023803/0001140361-14-023803-index.htm,http://www.sec.gov/Archives/edgar/data/816159/000114036115022380/0001140361-15-022380-index.htm,,2016-04-30
24,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",10017,NYSE,AJRD,3760,Guided Missiles And Space Vehicles And Parts,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=40888&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/40888/000119312514219663/0001193125-14-219663-index.htm,http://www.sec.gov/Archives/edgar/data/40888/000004088815000015/0000040888-15-000015-index.htm,,2016-04-30
25,2969,AIR PRODUCTS & CHEMICALS INC /DE/,7570,NYSE,APD,2810,Industrial Inorganic Chemicals,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=2969&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/2969/000119312514221199/0001193125-14-221199-index.htm,http://www.sec.gov/Archives/edgar/data/2969/000119312515206001/0001193125-15-206001-index.htm,,2016-04-30
26,804212,AIRGAS INC,3632,NYSE,ARG,5084,Industrial Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=804212&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/804212/000080421214000018/0000804212-14-000018-index.htm,http://www.sec.gov/Archives/edgar/data/804212/000080421215000019/0000804212-15-000019-index.htm,,2016-04-30
27,1368622,AEROVIRONMENT INC,722088,Nasdaq Global Market,AVAV,3721,Aircraft,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1368622&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1368622/000110465914043286/0001104659-14-043286-index.htm,http://www.sec.gov/Archives/edgar/data/1368622/000110465915042433/0001104659-15-042433-index.htm,,2016-04-30
28,4281,ALCOA INC.,10803,NYSE,AA,3350,"Rolling, Drawing, And Extruding Of Nonferrous",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=4281&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/4281/000119312514222560/0001193125-14-222560-index.htm,http://www.sec.gov/Archives/edgar/data/4281/000119312515209289/0001193125-15-209289-index.htm,,2016-04-30
29,819793,ALBANY INTERNATIONAL CORP /DE/,9956,NYSE,AIN,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=819793&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/819793/000089109215004476/0000891092-15-004476-index.htm,,2016-04-30
30,915913,ALBEMARLE CORP,8245,NYSE,ALB,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=915913&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/915913/000119312514220058/0001193125-14-220058-index.htm,http://www.sec.gov/Archives/edgar/data/915913/000119312515204296/0001193125-15-204296-index.htm,,2016-04-30
31,897077,ALAMO GROUP INC,5734,NYSE,ALG,3523,Farm Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=897077&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/897077/000089707714000054/0000897077-14-000054-index.htm,http://www.sec.gov/Archives/edgar/data/897077/000089707715000053/0000897077-15-000053-index.htm,,2016-04-30
32,1097149,ALIGN TECHNOLOGY INC,80922,Nasdaq Global Market,ALGN,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1097149&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1097149/000109714914000007/0001097149-14-000007-index.htm,http://www.sec.gov/Archives/edgar/data/1097149/000109714915000017/0001097149-15-000017-index.htm,,2016-04-30
33,1145460,ALERE INC.,89370,NYSE,ALR,2835,In Vitro and In Vivo Diagnostic Substances,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1145460&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1145460/000119312514222543/0001193125-14-222543-index.htm,http://www.sec.gov/Archives/edgar/data/1145460/000119312515205185/0001193125-15-205185-index.htm,,2016-04-30
34,886125,ALCATEL LUCENT,10386,NYSE,ALU,3661,Telephone and Telegraph Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=886125&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/886125/000119312514218810/0001193125-14-218810-index.htm,http://www.sec.gov/Archives/edgar/data/886125/000119312515205137/0001193125-15-205137-index.htm,,2016-04-30
35,1344413,ALEXZA PHARMACEUTICALS INC.,694307,Nasdaq Global Market,ALXA,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1344413&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1344413/000119312514222241/0001193125-14-222241-index.htm,http://www.sec.gov/Archives/edgar/data/1344413/000119312515201726/0001193125-15-201726-index.htm,,2016-04-30
36,1018963,ALLEGHENY TECHNOLOGIES INC,4515,NYSE,ATI,3317,Steel Pipe and Tubes,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1018963&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1018963/000119312514221138/0001193125-14-221138-index.htm,http://www.sec.gov/Archives/edgar/data/1018963/000119312515205217/0001193125-15-205217-index.htm,,2016-04-30
37,1101215,ALLIANCE DATA SYSTEMS CORP,70958,NYSE,ADS,7389,"Business Services, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1101215&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/1101215/000110121515000127/0001101215-15-000127-index.htm,,2016-04-30
38,1122342,ALLIANCE FIBER OPTIC PRODUCTS INC,79266,Nasdaq Capital Market,AFOP,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1122342&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1122342/000120677414003329/0001206774-14-003329-index.htm,http://www.sec.gov/Archives/edgar/data/1122342/000120677415001867/0001206774-15-001867-index.htm,,2016-04-30
39,1344980,"ALLIANCE HOLDINGS GP, L.P.",691539,Nasdaq Global Market,AHGP,1221,Bituminous Coal and Lignite Surface Mining,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1344980&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1344980/000110465914042701/0001104659-14-042701-index.htm,http://www.sec.gov/Archives/edgar/data/1344980/000110465915036112/0001104659-15-036112-index.htm,http://www.sec.gov/Archives/edgar/data/1344980/000110465916113399/0001104659-16-113399-index.htm,2016-04-30
40,1579241,ALLEGION PLC,908913,NYSE,ALLE,7381,"Detective, Guard, and Armored Car Services",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1579241&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1579241/000157924114000023/0001579241-14-000023-index.htm,http://www.sec.gov/Archives/edgar/data/1579241/000157924115000015/0001579241-15-000015-index.htm,,2016-04-30
41,1365767,ALLOT COMMUNICATIONS LTD.,724863,Nasdaq Global Market,ALLT,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1365767&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1365767/000117891314001916/0001178913-14-001916-index.htm,http://www.sec.gov/Archives/edgar/data/1365767/000117891315001785/0001178913-15-001785-index.htm,,2016-04-30
42,1411207,ALLISON TRANSMISSION HOLDINGS INC,755761,NYSE,ALSN,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1411207&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1411207/000119312514222497/0001193125-14-222497-index.htm,http://www.sec.gov/Archives/edgar/data/1411207/000119312515209230/0001193125-15-209230-index.htm,,2016-04-30
43,46129,ALLIED MOTION TECHNOLOGIES INC,6560,Nasdaq Global Market,AMOT,3825,Instruments for Measuring and Testing of Electricity and Electri,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=46129&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/46129/000110465914043135/0001104659-14-043135-index.htm,http://www.sec.gov/Archives/edgar/data/46129/000110465915041801/0001104659-15-041801-index.htm,,2016-04-30
44,1387467,ALPHA & OMEGA SEMICONDUCTOR LTD,732422,Nasdaq Global Market,AOSL,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1387467&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1387467/000138746714000077/0001387467-14-000077-index.htm,http://www.sec.gov/Archives/edgar/data/1387467/000138746715000060/0001387467-15-000060-index.htm,,2016-04-30
45,1086600,ALLIANCE RESOURCE PARTNERS LP,9984,Nasdaq Global Market,ARLP,1221,Bituminous Coal and Lignite Surface Mining,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1086600&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1086600/000110465914042699/0001104659-14-042699-index.htm,http://www.sec.gov/Archives/edgar/data/1086600/000110465915036107/0001104659-15-036107-index.htm,http://www.sec.gov/Archives/edgar/data/1086600/000110465916113396/0001104659-16-113396-index.htm,2016-04-30
46,1350653,"ALPHATEC HOLDINGS, INC.",698514,Nasdaq Global Market,ATEC,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1350653&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1350653/000135065314000012/0001350653-14-000012-index.htm,http://www.sec.gov/Archives/edgar/data/1350653/000135065315000012/0001350653-15-000012-index.htm,,2016-04-30
47,919012,AMERICAN EAGLE OUTFITTERS INC,1498,NYSE,AEO,5651,Family Clothing Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=919012&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/919012/000119312514222388/0001193125-14-222388-index.htm,http://www.sec.gov/Archives/edgar/data/919012/000119312515206708/0001193125-15-206708-index.htm,,2016-04-30
48,1374535,ALTRA INDUSTRIAL MOTION CORP.,722111,Nasdaq Global Market,AIMC,3569,"General Industrial Machinery and Equipment, Not Elsewhere",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1374535&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1374535/000119312514221582/0001193125-14-221582-index.htm,http://www.sec.gov/Archives/edgar/data/1374535/000137453515000072/0001374535-15-000072-index.htm,,2016-04-30
49,1280263,AMBARELLA INC,622350,Nasdaq Global Market,AMBA,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1280263&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1280263/000119312514222213/0001193125-14-222213-index.htm,http://www.sec.gov/Archives/edgar/data/1280263/000119312515209110/0001193125-15-209110-index.htm,,2016-04-30
50,1488139,"AMERESCO, INC.",825041,NYSE,AMRC,1700,Construction - Special Trade Contractors,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1488139&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1488139/000148813914000023/0001488139-14-000023-index.htm,http://www.sec.gov/Archives/edgar/data/1488139/000148813915000037/0001488139-15-000037-index.htm,,2016-04-30
51,1018724,AMAZON COM INC,7235,Nasdaq Global Market,AMZN,5961,Catalog and Mail-Order Houses,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1018724&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1018724/000101872414000018/0001018724-14-000018-index.htm,http://www.sec.gov/Archives/edgar/data/1018724/000101872415000067/0001018724-15-000067-index.htm,,2016-04-30
52,1344596,"AMERICAN RAILCAR INDUSTRIES, INC.",693099,Nasdaq Global Market,ARII,3743,Railroad Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1344596&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1344596/000134459614000052/0001344596-14-000052-index.htm,http://www.sec.gov/Archives/edgar/data/1344596/000134459615000036/0001344596-15-000036-index.htm,,2016-04-30
53,5768,"AMERICAN SCIENCE & ENGINEERING, INC.",9591,Nasdaq Global Market,ASEI,3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=5768&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/5768/000110465914043203/0001104659-14-043203-index.htm,http://www.sec.gov/Archives/edgar/data/5768/000110465915042324/0001104659-15-042324-index.htm,,2016-04-30
54,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,11434,NYSE,AXL,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1062231&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1062231/000106223114000034/0001062231-14-000034-index.htm,http://www.sec.gov/Archives/edgar/data/1062231/000106223115000046/0001062231-15-000046-index.htm,,2016-04-30
55,764180,"ALTRIA GROUP, INC.",8363,NYSE,MO,2111,Cigarettes,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=764180&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/764180/000076418014000043/0000764180-14-000043-index.htm,http://www.sec.gov/Archives/edgar/data/764180/000076418015000038/0000764180-15-000038-index.htm,,2016-04-30
56,1140859,AMERISOURCEBERGEN CORP,86687,NYSE,ABC,5122,"Drugs, Drug Proprietaries, and Druggists' Sundries",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1140859&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1140859/000110465914048955/0001104659-14-048955-index.htm,http://www.sec.gov/Archives/edgar/data/1140859/000110465915041186/0001104659-15-041186-index.htm,,2016-04-30
57,6281,ANALOG DEVICES INC,11545,Nasdaq Global Market,ADI,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=6281&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/6281/000000628114000017/0000006281-14-000017-index.htm,http://www.sec.gov/Archives/edgar/data/6281/000000628115000017/0000006281-15-000017-index.htm,,2016-04-30
58,6284,ANALOGIC CORP,8785,Nasdaq Global Market,ALOG,3825,Instruments for Measuring and Testing of Electricity and Electri,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=6284&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/6284/000119312514219861/0001193125-14-219861-index.htm,http://www.sec.gov/Archives/edgar/data/6284/000119312515206713/0001193125-15-206713-index.htm,,2016-04-30
59,1037868,AMETEK INC/,6134,NYSE,AME,3621,Motors and Generators,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1037868&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1037868/000119312514217329/0001193125-14-217329-index.htm,http://www.sec.gov/Archives/edgar/data/1037868/000119312515205607/0001193125-15-205607-index.htm,,2016-04-30
60,1047127,"AMKOR TECHNOLOGY, INC.",7044,Nasdaq Global Market,AMKR,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1047127&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1047127/000104712714000031/0001047127-14-000031-index.htm,http://www.sec.gov/Archives/edgar/data/1047127/000104712715000027/0001047127-15-000027-index.htm,,2016-04-30
61,880807,AMERICAN SUPERCONDUCTOR CORP /DE/,11268,Nasdaq Global Market,AMSC,3621,Motors and Generators,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=880807&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/880807/000119312514219937/0001193125-14-219937-index.htm,http://www.sec.gov/Archives/edgar/data/880807/000119312515202938/0001193125-15-202938-index.htm,,2016-04-30
62,6176,AMPCO PITTSBURGH CORP,10196,NYSE,AP,3561,Pumps and Pumping Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=6176&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/6176/000119312514218993/0001193125-14-218993-index.htm,http://www.sec.gov/Archives/edgar/data/6176/000119312515206472/0001193125-15-206472-index.htm,,2016-04-30
