id,req_company_name,req_cik,req_url,ret_cik,ret_company_name,ret_description,ret_filing_date,ret_sec_accession_number,ret_title,ret_url
30,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465914043160/0001104659-14-043160-index.htm,1750,AAR CORP,0001104659-14-043160.txt,2014-06-02 11:13:42,0001104659-14-043160,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1750/000110465914043160/0001104659-14-043160.txt
31,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465915042298/0001104659-15-042298-index.htm,1750,AAR CORP,a15-12982_1sd.htm,2015-06-01 10:32:00,0001104659-15-042298,SD,https://www.sec.gov/Archives/edgar/data/1750/000110465915042298/a15-12982_1sd.htm
32,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465915042298/0001104659-15-042298-index.htm,1750,AAR CORP,a15-12982_1ex1d01.htm,2015-06-01 10:32:00,0001104659-15-042298,EX-1.01,https://www.sec.gov/Archives/edgar/data/1750/000110465915042298/a15-12982_1ex1d01.htm
33,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465915042298/0001104659-15-042298-index.htm,1750,AAR CORP,0001104659-15-042298.txt,2015-06-01 10:32:00,0001104659-15-042298,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1750/000110465915042298/0001104659-15-042298.txt
34,"A10 NETWORKS, INC.",1580808,http://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/0001193125-15-204410-index.htm,1580808,"A10 Networks, Inc.",d932888dsd.htm,2015-05-28 17:29:58,0001193125-15-204410,FORM SD,https://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/d932888dsd.htm
35,"A10 NETWORKS, INC.",1580808,http://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/0001193125-15-204410-index.htm,1580808,"A10 Networks, Inc.",d932888dex101.htm,2015-05-28 17:29:58,0001193125-15-204410,EX-1.01,https://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/d932888dex101.htm
36,"A10 NETWORKS, INC.",1580808,http://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/0001193125-15-204410-index.htm,1580808,"A10 Networks, Inc.",0001193125-15-204410.txt,2015-05-28 17:29:58,0001193125-15-204410,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/0001193125-15-204410.txt
37,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010-index.htm,910638,3D SYSTEMS CORP,ddd-20140530x8k.htm,2014-05-30 17:00:22,0000910638-14-000010,,https://www.sec.gov/Archives/edgar/data/910638/000091063814000010/ddd-20140530x8k.htm
38,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010-index.htm,910638,3D SYSTEMS CORP,ddd-20140530ex10298425d.htm,2014-05-30 17:00:22,0000910638-14-000010,,https://www.sec.gov/Archives/edgar/data/910638/000091063814000010/ddd-20140530ex10298425d.htm
39,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010-index.htm,910638,3D SYSTEMS CORP,ddd-20140530x8kg1.jpg,2014-05-30 17:00:22,0000910638-14-000010,,https://www.sec.gov/Archives/edgar/data/910638/000091063814000010/ddd-20140530x8kg1.jpg
40,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010-index.htm,910638,3D SYSTEMS CORP,0000910638-14-000010.txt,2014-05-30 17:00:22,0000910638-14-000010,Complete submission text file,https://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010.txt
41,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008-index.htm,910638,3D SYSTEMS CORP,ddd-20150601x6k.htm,2015-06-01 16:18:31,0000910638-15-000008,,https://www.sec.gov/Archives/edgar/data/910638/000091063815000008/ddd-20150601x6k.htm
42,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008-index.htm,910638,3D SYSTEMS CORP,ddd-20150601ex1018b47b8.htm,2015-06-01 16:18:31,0000910638-15-000008,,https://www.sec.gov/Archives/edgar/data/910638/000091063815000008/ddd-20150601ex1018b47b8.htm
43,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008-index.htm,910638,3D SYSTEMS CORP,ddd-20150601x6kg001.jpg,2015-06-01 16:18:31,0000910638-15-000008,,https://www.sec.gov/Archives/edgar/data/910638/000091063815000008/ddd-20150601x6kg001.jpg
44,3D SYSTEMS CORP,910638,http://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008-index.htm,910638,3D SYSTEMS CORP,0000910638-15-000008.txt,2015-06-01 16:18:31,0000910638-15-000008,Complete submission text file,https://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008.txt
45,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465914043157/0001104659-14-043157-index.htm,66740,3M CO,a14-13675_1sd.htm,2014-06-02 11:06:28,0001104659-14-043157,SD,https://www.sec.gov/Archives/edgar/data/66740/000110465914043157/a14-13675_1sd.htm
46,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465914043157/0001104659-14-043157-index.htm,66740,3M CO,a14-13675_1ex1d02.htm,2014-06-02 11:06:28,0001104659-14-043157,EX-1.02,https://www.sec.gov/Archives/edgar/data/66740/000110465914043157/a14-13675_1ex1d02.htm
47,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465914043157/0001104659-14-043157-index.htm,66740,3M CO,0001104659-14-043157.txt,2014-06-02 11:06:28,0001104659-14-043157,Complete submission text file,https://www.sec.gov/Archives/edgar/data/66740/000110465914043157/0001104659-14-043157.txt
48,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465915042396/0001104659-15-042396-index.htm,66740,3M CO,a15-12384_1sd.htm,2015-06-01 15:06:30,0001104659-15-042396,SD,https://www.sec.gov/Archives/edgar/data/66740/000110465915042396/a15-12384_1sd.htm
49,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465915042396/0001104659-15-042396-index.htm,66740,3M CO,a15-12384_1ex1d01.htm,2015-06-01 15:06:30,0001104659-15-042396,EX-1.01,https://www.sec.gov/Archives/edgar/data/66740/000110465915042396/a15-12384_1ex1d01.htm
50,3M CO,66740,http://www.sec.gov/Archives/edgar/data/66740/000110465915042396/0001104659-15-042396-index.htm,66740,3M CO,0001104659-15-042396.txt,2015-06-01 15:06:30,0001104659-15-042396,Complete submission text file,https://www.sec.gov/Archives/edgar/data/66740/000110465915042396/0001104659-15-042396.txt
51,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312514221767/0001193125-14-221767-index.htm,815094,ABIOMED INC,d738342dsd.htm,2014-06-02 13:43:40,0001193125-14-221767,FORM SD,https://www.sec.gov/Archives/edgar/data/815094/000119312514221767/d738342dsd.htm
52,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312514221767/0001193125-14-221767-index.htm,815094,ABIOMED INC,d738342dex102.htm,2014-06-02 13:43:40,0001193125-14-221767,EX-1.02,https://www.sec.gov/Archives/edgar/data/815094/000119312514221767/d738342dex102.htm
53,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312514221767/0001193125-14-221767-index.htm,815094,ABIOMED INC,0001193125-14-221767.txt,2014-06-02 13:43:40,0001193125-14-221767,Complete submission text file,https://www.sec.gov/Archives/edgar/data/815094/000119312514221767/0001193125-14-221767.txt
54,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312515208997/0001193125-15-208997-index.htm,815094,ABIOMED INC,d929851dsd.htm,2015-06-01 16:04:34,0001193125-15-208997,SD,https://www.sec.gov/Archives/edgar/data/815094/000119312515208997/d929851dsd.htm
