,link,size,filing_date,year,cik
429,https://www.sec.gov/Archives/edgar/data/88948/000143774918010584/0001437749-18-010584-index.htm,17 KB,2018-05-23,2018,0000088948
435,https://www.sec.gov/Archives/edgar/data/724910/000072491018000010/0000724910-18-000010-index.htm,25 KB,2018-05-30,2018,0000724910
446,https://www.sec.gov/Archives/edgar/data/1323885/000132388518000043/0001323885-18-000043-index.htm,521 KB,2018-05-29,2018,0001323885
452,https://www.sec.gov/Archives/edgar/data/1563411/000119312518179852/0001193125-18-179852-index.htm,16 KB,2018-05-31,2018,0001563411
458,https://www.sec.gov/Archives/edgar/data/39368/000143774918010898/0001437749-18-010898-index.htm,457 KB,2018-05-30,2018,0000039368
464,https://www.sec.gov/Archives/edgar/data/1567892/000156789218000032/0001567892-18-000032-index.htm,239 KB,2018-05-31,2018,0001567892
469,https://www.sec.gov/Archives/edgar/data/1312073/000131207318000018/0001312073-18-000018-index.htm,443 KB,2018-06-01,2018,0001312073
475,https://www.sec.gov/Archives/edgar/data/84748/000008474818000023/0000084748-18-000023-index.htm,21 KB,2018-05-29,2018,0000084748
481,https://www.sec.gov/Archives/edgar/data/67716/000006771618000040/0000067716-18-000040-index.htm,356 KB,2018-05-31,2018,0000067716
487,https://www.sec.gov/Archives/edgar/data/54381/000005438118000035/0000054381-18-000035-index.htm,74 KB,2018-05-23,2018,0000054381
493,https://www.sec.gov/Archives/edgar/data/1037962/000119312518171680/0001193125-18-171680-index.htm,266 KB,2018-05-23,2018,0001037962
499,https://www.sec.gov/Archives/edgar/data/723125/000072312518000056/0000723125-18-000056-index.htm,228 KB,2018-05-31,2018,0000723125
505,https://www.sec.gov/Archives/edgar/data/1637655/000163765518000084/0001637655-18-000084-index.htm,78 KB,2018-05-30,2018,0001637655
509,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000034/0001260221-18-000034-index.htm,48 KB,2018-05-30,2018,0001260221
515,https://www.sec.gov/Archives/edgar/data/1439288/000143928818000072/0001439288-18-000072-index.htm,507 KB,2018-06-01,2018,0001439288
521,https://www.sec.gov/Archives/edgar/data/68709/000006870918000023/0000068709-18-000023-index.htm,266 KB,2018-05-24,2018,0000068709
522,https://www.sec.gov/Archives/edgar/data/68709/000006870918000021/0000068709-18-000021-index.htm,265 KB,2018-05-22,2018,0000068709
528,https://www.sec.gov/Archives/edgar/data/836157/000156459018014822/0001564590-18-014822-index.htm,238 KB,2018-05-31,2018,0000836157
534,https://www.sec.gov/Archives/edgar/data/1519751/000119312518180298/0001193125-18-180298-index.htm,134 KB,2018-05-31,2018,0001519751
540,https://www.sec.gov/Archives/edgar/data/49938/000119312518176144/0001193125-18-176144-index.htm,14 KB,2018-05-29,2018,0000049938
547,https://www.sec.gov/Archives/edgar/data/1108967/000143774918010934/0001437749-18-010934-index.htm,537 KB,2018-05-30,2018,0001108967
553,https://www.sec.gov/Archives/edgar/data/827187/000082718718000032/0000827187-18-000032-index.htm,952 KB,2018-05-23,2018,0000827187
559,https://www.sec.gov/Archives/edgar/data/76321/000007632118000047/0000076321-18-000047-index.htm,72 KB,2018-05-31,2018,0000076321
566,https://www.sec.gov/Archives/edgar/data/945114/000162828018007429/0001628280-18-007429-index.htm,20 KB,2018-05-31,2018,0000945114
572,https://www.sec.gov/Archives/edgar/data/310764/000031076418000169/0000310764-18-000169-index.htm,956 KB,2018-05-31,2018,0000310764
582,https://www.sec.gov/Archives/edgar/data/102729/000090044018000056/0000900440-18-000056-index.htm,28 KB,2018-05-31,2018,0000102729
588,https://www.sec.gov/Archives/edgar/data/47111/000004711118000027/0000047111-18-000027-index.htm,29 KB,2018-05-23,2018,0000047111
594,https://www.sec.gov/Archives/edgar/data/889348/000138713118002471/0001387131-18-002471-index.htm,53 KB,2018-05-31,2018,0000889348
600,https://www.sec.gov/Archives/edgar/data/795403/000110465918037007/0001104659-18-037007-index.htm,615 KB,2018-05-31,2018,0000795403
606,https://www.sec.gov/Archives/edgar/data/1604778/000160477818000034/0001604778-18-000034-index.htm,671 KB,2018-05-30,2018,0001604778
611,https://www.sec.gov/Archives/edgar/data/313927/000119312518179698/0001193125-18-179698-index.htm,120 KB,2018-05-31,2018,0000313927
617,https://www.sec.gov/Archives/edgar/data/95029/000117494718000918/0001174947-18-000918-index.htm,24 KB,2018-05-31,2018,0000095029
623,https://www.sec.gov/Archives/edgar/data/706688/000070668818000110/0000706688-18-000110-index.htm,35 KB,2018-05-25,2018,0000706688
629,https://www.sec.gov/Archives/edgar/data/1577552/000110465918037065/0001104659-18-037065-index.htm,25 KB,2018-05-31,2018,0001577552
632,https://www.sec.gov/Archives/edgar/data/933034/000114036118024408/0001140361-18-024408-index.htm,94 KB,2018-05-17,2018,0000933034
638,https://www.sec.gov/Archives/edgar/data/1070235/000107023518000011/0001070235-18-000011-index.htm,644 KB,2018-05-31,2018,0001070235
644,https://www.sec.gov/Archives/edgar/data/884217/000110465918036040/0001104659-18-036040-index.htm,23 KB,2018-05-25,2018,0000884217
650,https://www.sec.gov/Archives/edgar/data/87347/000119312518160252/0001193125-18-160252-index.htm,231 KB,2018-05-11,2018,0000087347
656,https://www.sec.gov/Archives/edgar/data/875355/000165495418005858/0001654954-18-005858-index.htm,81 KB,2018-05-24,2018,0000875355
